Provinsi;IPM18;IPM19;IPM20;IPM21;IPM22;IKES18;IKES19;IKES20;IKES21;IKES22;IPEN18;IPEN19;IPEN20;IPEN21;IPEN22;IPEG18;IPEG19;IPEG20;IPEG21;IPEG22;PAD18;PAD19;PAD20;PAD21;PAD22;PD18;PD19;PD20;PD21;PD22;RD18;RD19;RD20;RD21;RD22;HPKD18;HPKD19;HPKD20;HPKD21;HPKD22;LPS2018;LPS2019;LPS2020;LPS2021;LPS2022;BD18;BD19;BD20;BD21;BD22;BP18;BP19;BP20;BP21;BP22;BBJ18;BBJ19;BBJ20;BBJ21;BBJ22;BM18;BM19;BM20;BM21;BM22;BL18;BL19;BL20;BL21;BL22;IPM;KES;PEN;PEG;PAD;PD;RD;HPKD;LPS;BD;BP;BBJ;BM;BL
Aceh;71,19;71,90;73,29;73,48;74,11;69,64;69,87;69,93;69,96;70,18;11,68;11,74;11,82;11,87;11,91;9186;9603;9492;9572;9963;2359,39;2698,91;2570,78;2505,89;2917,15;1309,08;1409,25;1477,99;1529,61;1717,83;20,76;17,09;8,16;8,31;15,00;181,65;182,39;181,70;152,43;179,86;847,89;1090,19;902,92;815,54;1004,45;12306,31;15787,88;13242,21;13683,58;15773,08;2274,44;2461,32;2483,28;2631,23;2672,64;3396,75;4514,52;3702,40;5125,96;5961,65;2503,94;3162,09;1755,47;2199,33;2868,71;4131,18;5649,96;5301,05;3727,07;4270,08;72,79;69,92;11,80;9563,20;2610,42;1488,75;13,86;175,61;932,20;14158,61;2504,58;4540,26;2497,91;4615,87
Sumatera Utara;71,18;71,74;73,62;73,84;74,51;68,61;68,95;69,10;69,23;69,61;11,24;11,30;11,39;11,43;11,51;10391;10649;1042;10499;10848;5638,96;5761,27;5531,24;6402,71;7258,02;5219,32;5058,44;5071,60;5730,57;6646,50;36,61;38,41;30,22;27,13;28,95;192,00;436,28;242,31;384,48;302,40;191,03;228,13;187,11;260,53;280,16;12563,39;13440,32;12653,61;13225,39;12509,06;3584,40;3442,66;3257,13;3372,53;3392,78;2098,06;2477,24;1963,12;2828,79;2964,63;1564,90;1249,60;1497,94;1141,20;1776,12;5316,03;6270,82;5935,42;5882,87;4375,54;72,98;69,10;11,37;8685,80;6118,44;5545,29;32,26;311,49;229,39;12878,35;3409,90;2466,37;1445,95;5556,14
Sumatera Barat;71,73;72,39;74,29;74,56;75,16;69,01;69,31;69,47;69,59;69,90;11,36;11,47;11,51;11,58;11,64;10638;10925;10733;10790;11130;2275,09;2328,43;2255,07;2551,90;2851,97;1797,68;1872,93;1809,81;2060,85;2274,50;19,51;19,48;7,93;9,10;12,55;81,37;94,94;94,75;81,27;100,65;376,53;341,08;342,59;400,68;464,26;6267,38;6551,28;6408,29;6468,91;6304,43;2052,59;2135,47;2053,06;2093,84;2078,50;1489,06;1502,29;1239,47;1703,25;1999,50;1099,70;1062,23;736,89;666,35;941,07;1626,02;1851,29;2378,87;2005,46;1285,36;73,63;69,46;11,51;10843,20;2452,49;1963,15;13,71;90,60;385,03;6400,06;2082,69;1586,71;901,25;1829,40
Riau;72,44;73,00;73,67;73,89;74,45;71,19;71,48;71,60;71,67;71,95;11,02;11,09;11,17;11,24;11,26;10968;11255;10675;10736;11158;3639,00;3558,21;3333,18;4050,47;4696,77;3075,99;2989,75;2783,42;3327,50;4054,92;10,70;15,74;12,48;13,79;16,68;132,23;118,53;88,44;117,42;101,61;420,08;434,19;448,83;591,76;523,56;8469,56;8690,39;8172,71;8931,70;9102,47;2235,48;2290,74;2153,07;2213,18;2318,63;1812,68;2236,08;2120,14;2448,19;2826,88;1046,85;1161,04;919,25;1018,46;1508,53;3374,54;3002,53;2980,25;3251,88;2448,42;73,49;71,58;11,16;10958,40;3855,53;3246,32;13,88;111,65;483,68;8673,37;2242,22;2288,79;1130,83;3011,52
Jambi;70,65;71,26;72,29;72,62;73,11;70,89;71,06;71,16;71,22;71,50;10,57;10,69;10,77;10,82;10,87;10357;10592;10392;10588;10871;1656,57;1651,09;1535,18;1843,43;2163,59;1374,29;1345,11;1292,73;1558,11;1871,84;20,21;19,11;18,59;12,62;16,87;30,51;31,06;27,92;28,03;30,61;231,56;255,81;195,94;244,68;244,27;4198,26;4824,37;4430,39;4388,30;4755,42;1303,79;1382,61;1391,32;1500,17;1509,87;941,77;1024,03;743,29;770,67;1197,08;784,72;866,50;642,70;449,69;906,80;1167,97;1551,22;1653,09;1667,77;1141,67;71,99;71,17;10,74;10560,00;1769,97;1488,42;17,48;29,63;234,45;4519,35;1417,55;935,37;730,08;1436,34
Sumatera Selatan;69,39;70,02;71,62;71,83;72,48;69,41;69,65;69,88;69,98;70,32;10,18;10,29;10,35;10,42;10,46;10652;10937;10652;10662;11109;3528,01;3494,51;3375,10;3865,46;3865,46;3197,90;3145,56;3081,80;3523,79;3523,79;11,92;12,04;8,23;9,31;9,31;82,86;90,30;82,84;65,71;65,71;235,34;246,61;202,23;266,65;266,65;7941,14;9618,07;9517,76;10060,73;10060,73;1657,58;1757,17;1771,52;1923,29;1923,29;1375,07;1405,12;1392,76;1811,89;1811,89;1537,28;1606,22;1664,70;1836,83;1836,83;3371,22;4849,57;4688,78;4488,72;4488,72;71,07;69,85;10,34;10802,40;3625,71;3294,57;10,16;77,48;243,50;9439,69;1806,57;1559,35;1696,37;4377,40
Bengkulu;70,64;71,21;72,93;73,16;73,68;68,84;69,21;69,35;69,42;69,69;11,10;11,16;11,23;11,27;11,30;10162;10409;10380;10487;10840;872,26;826,67;712,35;984,42;1088,42;679,44;622,48;561,78;778,55;895,74;4,10;4,66;3,01;3,73;3,97;17,38;13,98;14,67;17,13;11,67;171,34;185,55;132,88;185,01;177,03;2979,58;3118,30;2698,46;2880,23;3016,50;1072,55;1060,36;1066,82;1097,40;1177,68;684,55;775,34;559,00;685,84;871,22;618,48;741,82;417,10;324,34;417,02;604,00;540,79;655,54;772,64;550,58;72,32;69,30;11,21;10455,60;896,82;707,60;3,89;14,97;170,36;2938,61;1094,96;715,19;503,75;624,71
Lampung;69,02;69,57;71,04;71,25;71,79;70,18;70,51;70,65;70,73;70,99;10,22;10,28;10,35;10,41;10,46;9858;10114;9982;10038;10336;2864,24;3018,07;2842,29;3249,67;3678,30;2577,74;2627,89;2386,35;2721,14;3126,14;7,84;11,07;17,08;14,66;6,60;27,77;27,84;29,87;33,34;45,57;250,88;351,27;408,99;480,53;499,99;7538,99;7058,71;6967,36;7097,65;6786,37;1815,01;1927,67;1971,31;1934,76;1970,94;1309,83;1277,19;1423,34;1506,51;1816,42;1729,33;1014,04;752,53;849,69;1025,33;2684,83;2839,81;2820,18;2806,69;1973,68;70,53;70,61;10,34;10065,60;3130,51;2687,85;11,45;32,88;398,33;7089,82;1923,94;1466,66;1074,18;2625,04
Kepulauan Bangka Belitung;70,67;71,30;72,74;72,96;73,50;70,18;70,50;70,64;70,73;70,98;9,86;9,96;10,06;10,13;10,15;12666;12959;12794;12819;13358;850,44;826,70;683,43;895,76;1090,48;787,24;761,00;613,62;813,81;981,65;7,61;8,73;6,51;5,95;6,60;5,11;5,44;5,47;5,71;6,24;50,48;51,53;57,83;70,29;95,99;2364,35;2776,08;2575,17;2465,81;2416,30;659,76;834,69;943,70;798,50;861,17;688,77;701,92;478,54;591,60;630,72;315,40;441,20;436,50;428,65;354,01;700,42;798,27;716,43;647,06;570,40;72,23;70,61;10,03;12919,20;869,36;791,46;7,08;5,59;65,22;2519,54;819,56;618,31;395,15;686,52
Kepulauan Riau;74,84;75,48;77,69;77,87;78,48;69,64;69,80;69,96;70,12;70,50;11,32;11,41;11,50;11,58;11,68;13976;14466;14209;14122;14469;1220,77;1311,70;1195,64;1375,77;1675,73;1099,14;1185,27;1033,43;1191,20;1492,76;13,54;7,16;5,73;12,27;6,86;3,10;2,84;2,06;3,04;2,49;104,99;116,43;154,41;169,26;173,62;3419,79;3653,94;3855,20;3703,82;3842,59;900,88;998,15;1004,93;932,14;1016,17;1077,43;1142,43;1082,66;1328,36;1360,83;620,06;633,11;586,61;338,33;552,16;821,42;880,25;1181,00;1104,99;913,43;76,87;70,00;11,50;14248,40;1355,92;1200,36;9,11;2,71;143,74;3695,07;970,45;1198,34;546,05;980,22
